City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
532,Kaspiyskiy,IN,77.72,scattered clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
534,Roma,IN,80.91,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
535,Alofi,IN,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
538,Ranong,IN,79.81,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
543,Valls,IN,76.93,scattered clouds,41.2861,1.2499,FELIX HOTEL
544,Dongzhen,IN,80.35,overcast clouds,22.3797,110.9389,茂名中汇时尚酒店
546,Jalu,IN,78.28,clear sky,29.0331,21.5482,صاحبة الفخامة
551,Thai Binh,IN,82.4,broken clouds,20.45,106.3333,Sweden Hotel
557,Mao,IN,77.56,few clouds,39.8885,4.2658,ARTIEM Capri
558,Xinyu,IN,77.5,few clouds,27.8043,114.9334,Xinyu Beihu Hotel
559,Behshahr,IN,80.55,few clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
560,Buala,IN,78.89,light rain,-8.145,159.5921,Maringe Lagoon Lodge
563,Ayorou,IN,83.01,broken clouds,14.7308,0.9174,Hotel Amenokal
564,Didwana,IN,88.0,overcast clouds,27.4,74.5667,Marudhar Hotel Didwana
565,Borba,IN,79.92,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
566,Gazli,IN,89.64,clear sky,40.1333,63.45,
567,Bahar,IN,76.08,clear sky,34.9072,48.4414,نمایندگی سایپا اسدی 20406
569,Corinto,IN,80.69,clear sky,37.9407,22.9573,Ephira Hotel
570,Stony Plain,IN,79.48,clear sky,53.5334,-114.0021,Travelodge by Wyndham Stony Plain
573,Batticaloa,IN,81.63,overcast clouds,7.7102,81.6924,Grand Star Guest House
575,Beyneu,IN,83.16,broken clouds,45.3167,55.2,NUR
579,Dicabisagan,IN,84.33,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
584,Honghu,IN,76.62,clear sky,29.8206,113.4621,文泉花园酒店
589,Komsomolskiy,IN,81.32,clear sky,40.4272,71.7189,Ikathouse
591,Teknaf,IN,79.56,broken clouds,20.8624,92.3058,Forestry Guesthouse
593,Lahan,IN,80.53,broken clouds,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
595,Sulangan,IN,83.17,broken clouds,11.1373,123.7228,Maia's Beach Resort
596,Ewa Beach,IN,89.55,broken clouds,21.3156,-158.0072,Uncle Junior Robert
598,Nishihara,IN,80.26,mist,26.1842,127.7558,Minshuku Agaihama
599,Bantou,IN,76.77,broken clouds,26.2151,117.4893,
600,Chulucanas,IN,76.15,clear sky,-5.0925,-80.1625,"Servicio Turístico Hotelero ""El Diamante"""
613,Sulam,IN,79.23,clear sky,32.6061,35.3341,בורגוס בורגר בר
614,Kuleshovka,IN,77.94,clear sky,47.078,39.5579,Otel' Versal'
616,Yamethin,IN,75.31,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
619,Shache,IN,80.15,clear sky,38.4167,77.2406,Delong Hotel
627,Dengfeng,IN,76.57,clear sky,34.4553,113.0281,Songshan Dihao Hotel
630,Presidencia Roque Saenz Pena,IN,76.93,few clouds,-26.7852,-60.4388,Hotel Gualok
631,Bowmore,IN,87.89,clear sky,34.9421,-79.3031,
632,Bubaque,IN,77.32,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
635,Humaita,IN,82.54,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
636,Akdepe,IN,80.69,clear sky,42.0551,59.3788,Мой дом
637,Ixtapa,IN,88.83,broken clouds,20.7,-105.2,Hotel Plaza Providencia
639,Darnah,IN,78.01,clear sky,32.766999999999996,22.6367,فندق الفردوس
640,Mersin,IN,79.95,clear sky,36.861999999999995,34.6509,Nostalgia Boutique Hotel
643,Korla,IN,84.13,scattered clouds,41.7597,86.1469,Gulisitan Hotel
646,Layou,IN,80.08,scattered clouds,13.2,-61.2667,Grace And Truth Campsite
647,Mayor Pablo Lagerenza,IN,82.69,clear sky,-19.9309,-60.7718,
652,Najran,IN,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
654,Lexington,IN,87.94,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
656,La Ronge,IN,77.22,broken clouds,55.1001,-105.2842,Northland Motor Hotel
659,Dauphin,IN,80.74,clear sky,51.1494,-100.0502,Canway Inn & Suites
660,Culaman,IN,82.83,overcast clouds,5.9603,125.6586,Jasmin Ex House
663,Havelock,IN,83.05,clear sky,34.8791,-76.9013,Sherwood Motel
667,Agadez,IN,87.37,broken clouds,19.75,10.25,
670,Athabasca,IN,77.41,few clouds,54.7169,-113.2854,Athabasca Lodge Motel
676,Seydi,IN,88.21,clear sky,39.4816,62.9137,Seydi oteli
679,Tiznit,IN,84.78,broken clouds,29.5833,-9.5,
682,Lewistown,IN,80.78,broken clouds,40.5992,-77.5714,Quality Inn & Suites
685,Davila,IN,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
686,Sembakung,IN,75.13,overcast clouds,3.8167,117.25,
689,Sokoni,IN,76.24,light rain,-6.4333,39.55,Ujamaa Beach Resort
690,Prainha,IN,79.93,overcast clouds,-1.8,-53.48,Casa Rocha
691,Hobyo,IN,76.39,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
693,Bastia,IN,78.6,overcast clouds,42.6667,9.3333,Hotel Santa Maria
696,San Felipe,IN,77.02,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
697,Palatka,IN,87.35,scattered clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
698,Yellandu,IN,75.76,overcast clouds,17.6,80.3333,Chekuri Satyanarayana
